,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
169,Anterior cingulate area dorsal part layer 5,167121.798223,74355.8111169,92765.9871058,71360.1672765,2078.41087297,917.232967416,9005.05314515,44587.5588082,39173.3751525,ACAd5
170,Anterior cingulate area dorsal part layer 6a,167533.450361,71936.6491125,95596.8012483,68703.5693388,2434.17203043,798.90774332,6169.06573045,61703.140238,27724.5952799,ACAd6a
171,Anterior cingulate area dorsal part layer 6b,161641.532756,62496.9097651,99144.6229913,49463.5352287,12459.8269468,573.547589617,4469.71569839,78496.9097651,16177.9975278,ACAd6b
172,Anterior cingulate area ventral part,158988.877139,87184.8841209,71803.993018,67950.7179533,18533.7189598,700.447207818,10810.8603973,33610.4577828,27382.6748379,ACAv
173,Anterior cingulate area ventral part layer 1,99036.0229446,52065.1625239,46970.8604207,0.0,51750.6692161,314.493307839,9929.17782027,9984.24474187,27057.4378585,ACAv1
174,Anterior cingulate area ventral part layer 2/3,192385.909235,113684.798477,78701.1107585,111265.079869,1513.84745583,905.871152015,15337.5224796,29117.8673437,34245.7209352,ACAv2/3
175,Anterior cingulate area ventral part layer 5,190148.960302,103217.499325,86931.4609776,100324.277613,1935.72778828,957.493923846,9737.4021064,50373.8590332,26820.199838,ACAv5
176,Anterior cingulate area ventral part 6a,179514.604173,88553.7582166,90960.845956,85319.9199771,2458.30237211,775.535867391,4539.81137468,72450.4144041,13970.6201772,ACAv6a
177,Anterior cingulate area ventral part 6b,174269.070735,75606.1026352,98662.9680999,69303.7447989,5725.3814147,576.976421637,4438.28016644,84837.7253814,9386.96255201,ACAv6b
178,Prelimbic area,151005.16321,83738.7940842,67266.3691258,68546.145095,14316.1284677,876.520521572,7803.55298854,28342.6971209,31120.1190164,PL
179,Prelimbic area layer 1,83403.6657526,45677.0096695,37726.6560831,0.0,45233.6556502,443.354019339,5463.41463415,5525.76129312,26737.4801559,PL1
180,Prelimbic area layer 2,203152.949365,135483.556638,67669.3927266,133100.400209,1297.3725422,1085.78388725,12400.2088046,15679.8329563,39589.3509657,PL2
181,Prelimbic area layer 2/3,167783.967439,98098.6020173,69685.365422,92857.1934171,4149.63723235,1091.7713679,9610.75915767,19898.7789772,40175.8272872,PL2/3
182,Prelimbic area layer 5,168259.718545,89740.0027867,78519.7157587,85506.4790302,3205.79629372,1027.72746273,7588.68608054,38886.4428034,32044.5868747,PL5
183,Prelimbic area layer 6a,167693.947649,76856.0938055,90837.8538434,69381.9732323,6617.55300249,856.567570769,5988.39275139,67342.8875992,17506.5734928,PL6a
184,Prelimbic area layer 6b,170014.863749,82391.4120562,87623.4516928,43706.028076,38209.7440132,475.639966969,5971.92402973,73988.4393064,7663.08835673,PL6b
185,Infralimbic area,159344.287432,91201.4775836,68142.8098482,75499.5034065,14926.3821854,775.591991776,8874.98039762,43344.4965238,15923.3329268,ILA
186,Infralimbic area layer 1,101045.8103,61919.3257074,39126.4845931,0.0,61600.569208,318.756499371,7268.34874938,8175.57878605,23682.5570576,ILA1
187,Infralimbic area layer 2,151119.250055,86086.7669501,65032.4831044,83114.8899063,2176.58600392,795.291039895,12640.941792,38285.5897101,14105.9516024,ILA2
188,Infralimbic area layer 2/3,166874.584428,103492.638445,63381.9459836,100272.67834,2470.18965899,749.770446126,12024.6968306,28150.8406421,23206.4085109,ILA2/3
189,Infralimbic area layer 5,170514.405448,97022.5248821,73491.8805657,89680.4609743,6336.30172865,1005.76217915,8000.0,50378.2084861,15113.6720796,ILA5
190,Infralimbic area layer 6a,175317.740652,90816.8655529,84500.8750994,80725.5369928,9225.77565632,865.552903739,7285.91885442,72021.6388226,5193.31742243,ILA6a
191,Infralimbic area layer 6b,185609.619927,91664.1614773,93945.4584496,74980.4595233,15955.3360533,728.365900795,4425.16641615,88407.129053,1113.16298046,ILA6b
192,Orbital area,144162.625465,77961.6555769,66200.9698884,64283.5231758,13154.8438029,523.288598173,10057.9677456,37007.5561069,19135.4460359,ORB
193,Orbital area lateral part,138216.809098,71569.3425745,66647.4665231,60764.6860911,10328.2417065,476.414776933,10320.7052015,42892.4029339,13434.3583877,ORBl
194,Orbital area lateral part layer 1,85896.0233655,45992.0017973,39904.0215682,0.0,45848.2138845,143.787912829,10165.805437,21711.9748371,8026.24129409,ORBl1
195,Orbital area lateral part layer 2/3,151546.237333,85113.0810079,66433.1563247,82059.7880128,2529.29104872,524.00194639,11817.8010028,41568.1130599,13047.242262,ORBl2/3
196,Orbital area lateral part layer 5,146941.159016,71267.677517,75673.4814991,68681.166731,1921.84208184,664.668704193,9497.16625619,50923.1180084,15253.1972345,ORBl5
197,Orbital area lateral part layer 6a,153558.215452,67715.5475901,85842.6678615,65925.3664469,1392.81828074,397.362862446,7803.8788965,59661.7807079,18377.0082571,ORBl6a
198,Orbital area lateral part layer 6b,153904.761905,57904.7619048,96000.0,21333.3333333,35047.6190476,1523.80952381,4571.42857143,74666.6666667,16761.9047619,ORBl6b
199,Orbital area medial part,153156.234598,84384.4258255,68771.8087728,67551.5032035,16143.9132578,689.009364219,8245.44110399,31565.303105,28961.0645638,ORBm
200,Orbital area medial part layer 1,91146.6083151,52844.6389497,38301.9693654,0.0,52529.5404814,315.098468271,6984.68271335,6214.44201313,25102.8446389,ORBm1
201,Orbital area medial part layer 2,180260.292165,115346.613546,64913.6786189,112297.47676,2581.67330677,467.463479416,13683.9309429,17391.7662683,33837.9814077,ORBm2
202,Orbital area medial part layer 2/3,172075.680482,102071.827298,70003.8531838,93216.2228919,8049.39979252,806.204613941,8703.84824384,24290.47078,37009.53416,ORBm2/3
203,Orbital area medial part layer 5,166655.528256,84847.1744472,81808.3538084,78628.009828,5322.85012285,896.314496314,6702.7027027,47650.1228501,27455.5282555,ORBm5
204,Orbital area medial part layer 6a,171307.464226,72671.39358,98636.0706459,69932.1902797,1914.14206523,825.061235014,8440.37643419,75592.1103519,14603.5838597,ORBm6a
205,Orbital area ventrolateral part,145393.002962,81393.6434233,63999.3595389,66346.6495877,14575.6144424,471.379393163,10923.0646065,33542.2304059,19534.0645265,ORBvl
206,Orbital area ventrolateral part layer 1,84055.0299374,46998.8573518,37056.1725856,0.0,46788.2444353,210.612916495,8930.57269528,9328.3970931,18797.2027972,ORBvl1
207,Orbital area ventrolateral part layer 2/3,167556.293093,100995.395583,66560.8975108,94473.4836976,6017.80998013,504.101904873,11933.9020685,33296.1551946,21330.8402478,ORBvl2/3
208,Orbital area ventrolateral part layer 5,152333.599909,76598.1949046,75735.405004,73121.4440763,2840.62607106,636.124757226,10163.372558,44082.7144979,21489.3179481,ORBvl5
209,Orbital area ventrolateral part layer 6a,161028.039505,81552.9572029,79475.0823022,74149.6197071,6847.5422863,555.795209445,11718.9238279,53548.8704734,14207.2880009,ORBvl6a
210,Orbital area ventrolateral part layer 6b,122514.285714,45714.2857143,76800.0,10057.1428571,35657.1428571,0.0,8228.57142857,57142.8571429,11428.5714286,ORBvl6b
211,Agranular insular area,122018.443727,71798.4641916,50219.9795353,62083.7394927,9283.24476987,431.479928979,12197.5193729,25981.4160167,12041.0441457,AI
212,Agranular insular area dorsal part,122609.308705,70218.450771,52390.8579339,61439.6062195,8324.76638509,454.078166459,15852.5373976,26322.1770731,10216.1434633,AId
213,Agranular insular area dorsal part layer 1,60365.5494693,34914.4926191,25451.0568502,0.0,34872.8994522,41.5931668369,11867.9169375,9110.88416427,4472.25574846,AId1
214,Agranular insular area dorsal part layer 2/3,131734.014894,78728.3009445,53005.71395,77374.5795326,1000.2497099,353.471701993,18494.2787056,23714.5669002,10796.8683441,AId2/3
215,Agranular insular area dorsal part layer 5,145724.301002,79641.5669259,66082.734076,77176.6082442,1594.42264096,870.536040758,15934.865807,38113.2535407,12034.6147283,AId5
216,Agranular insular area dorsal part layer 6a,152941.345808,82585.1025549,70356.243253,79720.1871177,2192.44332494,672.472112271,12132.1338611,43102.6988125,15121.4105793,AId6a
217,Agranular insular area dorsal part layer 6b,151061.452514,74458.1005587,76603.3519553,62659.2178771,11262.5698324,536.312849162,11977.6536313,49787.7094972,14837.9888268,AId6b
218,Agranular insular area posterior part,121354.279037,76680.3498295,44673.9292079,63774.1451957,12536.8300542,369.374579532,2665.69098398,23930.7894768,18077.4487472,AIp
219,Agranular insular area posterior part layer 1,58383.50272,36033.568085,22349.934635,0.0,36003.8797284,29.6883565976,2213.13203728,9797.15767722,10339.6449205,AIp1
220,Agranular insular area posterior part layer 2/3,152943.330282,103480.069901,49463.2603811,100404.427062,2796.03894483,279.603894483,3009.07048348,27001.7475243,19452.4423733,AIp2/3
221,Agranular insular area posterior part layer 5,131651.361012,80329.9422601,51321.4187517,76866.281734,2836.03702685,627.623499221,2941.61855009,27574.3744845,20805.4257172,AIp5
222,Agranular insular area posterior part layer 6a,154954.479483,92520.9130492,62433.5664336,86614.0651801,5235.51919778,671.328671329,2431.98311123,35926.6393983,24074.943924,AIp6a
223,Agranular insular area ventral part,121526.138326,69508.0457249,52018.0926012,61498.1770334,7554.59305354,455.275638038,15450.4235313,27634.0908468,8933.57822309,AIv
224,Agranular insular area ventral part layer 1,59781.920287,35716.4027767,24065.5175103,0.0,35636.5338117,79.8689649793,11815.6150066,7028.46891818,5221.43358552,AIv1
225,Agranular insular area ventral part layer 2/3,124884.453562,75133.6277339,49750.8258284,73580.3052957,1143.85062068,409.471817518,18635.4184777,19810.4245627,11304.982788,AIv2/3
226,Agranular insular area ventral part layer 5,140906.603212,78241.8628367,62664.7403756,75530.5515424,2020.56598963,690.745304666,15405.7958698,40036.0329736,7222.91153225,AIv5
227,Agranular insular area ventral part layer 6a,151873.015873,77902.7137737,73970.3020993,75846.390169,1523.80952381,532.514080901,9880.1843318,52661.546339,11428.5714286,AIv6a
228,Agranular insular area ventral part layer 6b,180000.0,80000.0,100000.0,20000.0,60000.0,0.0,2000.0,84000.0,14000.0,AIv6b
229,Retrosplenial area,194923.785605,101650.081088,93273.7045171,82891.4960993,18016.1204871,742.464501361,11216.9471373,32473.1480246,49583.6093552,RSP
230,Retrosplenial area lateral agranular part,180608.550842,92710.2507873,87898.3000544,80126.3664694,12035.153094,548.731223928,12712.6251051,38343.6495243,36842.025425,RSPagl
231,Retrosplenial area lateral agranular part layer 1,115688.817469,62324.2272427,53364.5902259,0.0,62179.0339352,145.193307496,8251.81964269,12559.2210984,32553.5494848,RSPagl1
232,Retrosplenial area lateral agranular part layer 2/3,214054.630865,121686.481471,92368.149394,119084.614046,2178.73919852,423.128225947,15392.2171316,27978.426028,48997.5062344,RSPagl2/3
233,Retrosplenial area lateral agranular part layer 5,185993.766594,91378.9680249,94614.7985686,89299.3189426,1266.9975759,812.651506407,13781.8307746,42819.3466467,38013.6211474,RSPagl5
234,Retrosplenial area lateral agranular part layer 6a,182075.272808,83654.6655779,98420.6072303,82086.8532403,888.426991315,679.385346299,11958.1322842,60926.137629,25536.3373172,RSPagl6a
235,Retrosplenial area lateral agranular part layer 6b,179136.945813,76390.1477833,102746.79803,75475.862069,315.270935961,599.014778325,9079.80295567,72701.4778325,20965.5172414,RSPagl6b
236,Retrosplenial area dorsal part,186722.707035,93418.7114009,93303.9956338,78482.1302387,14399.7702008,536.810961422,9675.83374027,29916.9160946,53711.245799,RSPd
237,Retrosplenial area dorsal part layer 1,130102.906296,68149.1413934,61953.7649031,0.0,67894.1209955,255.020397837,8158.62875937,11239.1132475,42556.0228962,RSPd1
238,Retrosplenial area dorsal part layer 2/3,224100.258267,123698.378424,100401.879842,119203.014522,3954.7821669,540.581735044,11516.1522503,21304.8816631,67580.8459291,RSPd2/3
239,Retrosplenial area dorsal part layer 5,191534.725271,91228.6863224,100306.038948,88548.2992958,2058.89686902,621.490157515,9584.20987936,33513.2667217,57208.5623474,RSPd5
240,Retrosplenial area dorsal part layer 6a,182546.523355,82368.4407688,100178.082587,80199.636919,1517.79385068,651.009999136,9093.85355733,49679.62424,41404.6047892,RSPd6a
241,Retrosplenial area dorsal part layer 6b,157372.328459,58798.6501687,98573.6782902,57466.8166479,809.898762655,521.934758155,5867.26659168,59950.5061867,32755.9055118,RSPd6b
242,Retrosplenial area ventral part,203759.887919,109251.674288,94508.2136314,86491.09356,21835.1115422,925.469185411,11900.2971379,32815.3587979,49792.5576956,RSPv
243,Retrosplenial area ventral part layer 1,158527.20609,90338.877925,68188.3281646,0.0,89669.0160699,669.861855089,13263.039188,17896.8142092,37028.4747674,RSPv1
244,Retrosplenial area ventral part layer 2,311219.381609,207048.409405,104170.972204,197105.608352,8723.508678,1219.29237496,17289.9656449,29080.2659171,57800.7406416,RSPv2
245,Retrosplenial area ventral part layer 2/3,239256.023156,136459.946276,102796.07688,131498.32372,4012.74389355,948.878662308,14880.8695833,31123.7532016,56791.4540949,RSPv2/3
246,Retrosplenial area ventral part layer 5,194478.069255,91882.5696631,102595.499592,89450.0174886,1452.06948817,980.482686254,10109.2689752,37326.2446077,55159.9860091,RSPv5
247,Retrosplenial area ventral part layer 6a,190350.81772,91341.2433002,99009.5744194,88768.5189427,1570.02153099,1002.70282652,8080.26020432,45702.1393559,45227.1748591,RSPv6a
248,Retrosplenial area ventral part layer 6b,152270.337922,61216.5206508,91053.8172716,59814.7684606,881.101376721,520.650813517,5366.70838548,52245.3066333,33441.8022528,RSPv6b
249,Posterior parietal association areas,180174.805391,89948.7954454,90226.0099457,80580.2948567,8783.145021,585.355567661,10683.4419863,43267.6729516,36274.8950078,PTLp
250,Posterior parietal association areas layer 1,98908.7328451,52122.8383285,46785.8945166,0.0,51988.9223952,133.915933288,7103.45252016,9643.91654871,30038.5254477,PTLp1
251,Posterior parietal association areas layer 2/3,190213.164188,105211.465807,85001.6983813,103284.877474,1489.58441648,437.003916675,12309.3133687,26285.6746733,46406.7103393,PTLp2/3
252,Posterior parietal association areas layer 4,201453.814877,105452.284143,96001.5307343,103514.374552,1236.83329347,701.076297536,13136.7615403,39603.1571394,43261.6120545,PTLp4
253,Posterior parietal association areas layer 5,193980.968726,95494.4607039,98486.5080216,92955.4864314,1662.24850983,876.725762707,11986.8221449,49660.5323241,36839.1535527,PTLp5
254,Posterior parietal association areas layer 6a,198714.231229,89738.9712426,108975.259986,87306.1608482,1741.20877724,691.601617127,9117.75026062,72735.3352488,27122.1744768,PTLp6a
255,Posterior parietal association areas layer 6b,179067.079809,62381.3750942,116685.704715,60232.1413617,1763.33640399,385.897328532,6308.34938447,91259.3585127,19117.9968177,PTLp6b
256,Temporal association areas,170304.579909,102983.897273,67320.6826358,92349.2175264,10228.0444029,406.635343443,3717.21684655,29011.2302257,34592.2355636,TEa
257,Temporal association areas layer 1,83284.6628208,50993.4354486,32291.2273722,0.0,50939.3276308,54.107817784,1279.49074995,5515.81460115,25495.9220211,TEa1
258,Temporal association areas layer 2/3,180318.347232,119341.895266,60976.4519656,116536.627556,2637.11875194,168.148958044,3725.38716363,11121.8525106,46129.2122913,TEa2/3
259,Temporal association areas layer 4,177030.269675,108727.206017,68303.063658,107168.592919,1229.86607962,328.747018896,4725.73839662,22213.9057054,41363.419556,TEa4
260,Temporal association areas layer 5,182346.206646,107491.387572,74854.8190743,105250.964851,1640.32429352,600.098427746,4648.27621934,36135.2086409,34071.334214,TEa5
261,Temporal association areas layer 6a,217057.958644,124759.382142,92298.5765027,121349.59663,2630.90944134,778.876070376,3977.20201547,62200.8315207,26120.5429665,TEa6a
262,Temporal association areas layer 6b,181161.943714,85875.5477651,95286.395949,78633.5573084,6637.45252702,604.537929691,3153.56899406,71260.6875061,20872.1394488,TEa6b
263,Perirhinal area,147038.484285,93087.2805084,53951.2037764,80636.7380294,11929.5906408,520.951838192,2872.4609942,28788.6106302,22290.132152,PERI
264,Perirhinal area layer 6a,187094.675052,112876.142558,74218.5324948,109237.400419,2758.57442348,880.167714885,2694.17190776,52241.1740042,19283.1865828,PERI6a
265,Perirhinal area layer 6b,176391.378058,97557.76217,78833.6158876,91946.7183337,4743.03705498,868.006781303,2464.51925406,61132.4775975,15236.6190361,PERI6b
266,Perirhinal area layer 1,73061.3223378,46000.0958911,27061.2264468,0.0,45923.3830369,76.7128541976,960.444934554,8723.78577935,17376.9957328,PERI1
267,Perirhinal area layer 5,163192.82643,101533.056485,61659.769946,98936.45952,1820.44026313,776.156701334,4445.26110764,35049.3550402,22165.1537981,PERI5
268,Perirhinal area layer 2/3,164509.05565,110327.250061,54181.8055892,108206.254112,1717.62994771,403.366000623,2903.34868581,23071.648717,28206.8081864,PERI2/3
269,Ectorhinal area,174556.339333,108292.697916,66263.6414166,92828.0966863,15049.2966339,415.304596169,4275.09229845,27725.0523062,34263.4968119,ECT
270,Ectorhinal area/Layer 1,84968.676911,54282.9788629,30685.698048,0.0,54217.2287919,65.7500710398,1835.40623839,5625.12841811,23225.1633915,ECT1
271,Ectorhinal area/Layer 2/3,178853.213653,114034.558955,64818.6546987,107547.686691,6218.96487833,267.907385295,3672.52714072,18883.5179314,42262.6096265,ECT2/3
272,Ectorhinal area/Layer 5,206459.308941,126891.430625,79567.8783161,122254.027187,3989.69998203,647.703455297,6073.65710522,36820.4084077,36673.8128032,ECT5
273,Ectorhinal area/Layer 6a,228142.341413,138188.069452,89954.2719615,134478.115867,2997.00876741,712.944816916,5866.3916108,54271.8239642,29816.0563865,ECT6a
274,Ectorhinal area/Layer 6b,188659.805939,99575.4189944,89084.386945,92443.3990003,6341.66421641,790.355777712,2672.15524846,68243.4578065,18168.77389,ECT6b
275,Olfactory areas,204033.136678,154284.374101,49748.7625769,137564.480514,16285.7373959,434.156191641,8708.45987279,26192.562313,14847.7403911,OLF
276,Main olfactory bulb,291546.333945,249134.161694,42412.1722508,216533.19556,31939.875832,661.090301637,6280.63341169,13159.3672772,22972.1715619,MOB
277,Main olfactory bulb glomerular layer,243130.017364,206316.513686,36813.5036771,170661.57423,34917.2337343,737.705722124,7445.28192065,4790.79699032,24577.4247661,MOBgl
278,Main olfactory bulb granule layer,472418.641428,413105.738589,59312.9028393,361079.190128,51366.191446,660.357014496,6760.17730921,27550.0179705,25002.7075596,MOBgr
279,Main olfactory bulb inner plexiform layer,403295.444635,355408.471176,47886.9734585,332768.743277,21883.4268438,756.301055263,5190.84857118,16622.8088026,26073.3160848,MOBipl
280,Main olfactory bulb mitral layer,375115.176877,328367.865311,46747.3115663,311251.163771,16250.9529139,865.748625371,6369.58461064,15233.6463757,25144.08058,MOBmi
281,Main olfactory bulb outer plexiform layer,140575.457493,110097.572557,30477.8849362,94263.9982929,15260.1964915,573.377772836,4943.24346255,5661.84103361,19872.80044,MOBopl
282,Accessory olfactory bulb,277418.112453,204263.420837,73154.691616,178434.371878,25022.4361886,806.612771369,17409.7556545,30936.1431556,24808.7928059,AOB
283,Accessory olfactory bulb glomerular layer,173050.437867,108922.735839,64127.7020286,82566.456047,25441.08192,915.197871633,25185.6778628,21879.6142335,17062.4099324,AOBgl
284,Accessory olfactory bulb granular layer,472413.944954,375867.889908,96546.0550459,353409.174312,21730.6422018,728.073394495,12424.2201835,52509.3577982,31612.4770642,AOBgr
285,Accessory olfactory bulb mitral layer,235431.850789,156832.137733,78599.713056,135218.62929,20772.9831144,840.52532833,21705.3305375,31777.5080013,25116.8745172,AOBmi
286,Anterior olfactory nucleus,130614.690217,67221.9206711,63392.7695456,60690.3037604,6228.81442027,302.802490458,9175.33343976,51553.9816844,2663.45442143,AON
287,Anterior olfactory nucleus dorsal part,165256.502286,89620.1386499,75636.3636364,86099.0215841,3193.86400511,327.253060622,4704.26274645,70135.9948867,796.106003245,AONd
288,Anterior olfactory nucleus external part,189192.797541,99464.2072903,89728.5902503,92567.4132631,6454.10628019,442.687747036,13832.2353975,72811.5942029,3084.76064998,AONe
289,Anterior olfactory nucleus lateral part,172388.639761,100734.039557,71654.6002036,94043.0233314,6308.35553822,382.660687593,10200.1256472,56934.6417972,4519.83275926,AONl
290,Anterior olfactory nucleus medial part,148205.13486,72206.0865615,75999.0482988,66880.7129107,4878.24713949,447.126511366,10634.1357905,65316.4622672,48.4502411697,AONm
291,Anterior olfactory nucleus posteroventral part,132027.330835,60996.7820145,71030.5488208,55842.3627948,4703.01961649,451.399603262,7195.59180075,58413.9299096,5421.02711043,AONpv
292,Anterior olfactory nucleus layer 1,80028.7402505,39778.0193808,40250.7208698,31338.2179154,8352.8243914,86.9770739778,8921.57882297,29161.5220988,2167.619948,AON1
293,Taenia tecta,132717.203846,76820.6449753,55896.5588704,67135.3835341,9182.97726638,502.284174769,10515.6738541,37243.4200449,8137.46497148,TT
294,Taenia tecta dorsal part,139387.518178,80971.1011398,58416.4170385,72092.5757896,8296.2226393,582.3027109,10210.9803239,37310.3302549,10895.1064597,TTd
295,Taenia tecta dorsal part layer 1,81903.2972154,45790.9821741,36112.3150414,36691.4443279,8816.18703639,283.35080974,7541.10839256,16195.7357567,12375.4708921,TTd1
296,Taenia tecta dorsal part layer 2,184136.388961,116080.97166,68055.4173012,108490.732831,6831.92809122,758.310738031,10644.8761282,44398.0239944,13012.5171786,TTd2
297,Taenia tecta dorsal part layer 3,142995.828593,77199.8483125,65795.9802806,71821.008722,4723.54948805,655.290102389,10572.620402,46786.4998104,8436.86006826,TTd3
298,Taenia tecta dorsal part layer 4,169195.512341,86976.8137622,82218.6985789,62717.1278983,23465.0710546,794.614809274,17605.9835453,60189.6783844,4423.03664921,TTd4
299,Taenia tecta ventral part,115138.36478,65882.5995807,49255.7651992,54071.278826,11519.9161426,291.404612159,11318.6582809,37067.0859539,870.020964361,TTv
300,Taenia tecta ventral part layer 1,75860.2293945,41982.3953054,33877.8340891,34833.8223526,7007.73539611,140.837556682,9534.27580688,22790.077354,1553.48092825,TTv1
301,Taenia tecta ventral part layer 2,174497.559108,104487.795539,70009.7635685,82304.9679334,21796.8794869,385.948119077,13851.2491624,55846.0802144,312.434191634,TTv2
302,Taenia tecta ventral part layer 3,109020.255654,57052.5073746,51967.7482793,52798.4267453,3712.88102262,541.199606686,11377.7777778,40589.9705015,0.0,TTv3
303,Dorsal peduncular area,126711.658219,68900.0241371,57811.6340816,60641.6606324,7482.88679701,775.4767077,8344.87086652,37500.9413469,11965.8218682,DP
304,Dorsal peduncular area layer 1,69839.4160584,38879.8938288,30959.5222296,32339.7478434,6264.10086264,276.04512276,4076.97412077,6412.74054413,20469.8075647,DP1
305,Dorsal peduncular area layer 2/3,137944.557922,79061.5698862,58882.9880362,75952.144733,2166.32623286,943.098920338,8245.11234316,34334.4032682,16303.4724249,DP2/3
306,Dorsal peduncular area layer 5,159139.257746,82467.8243105,76671.4334355,73795.0289411,7572.35274089,1100.44262853,10143.6840313,64370.4460334,2157.30337079,DP5
307,Dorsal peduncular area layer 6a,165178.152118,85039.3057682,80138.8463502,54721.7968351,29566.1051557,751.403777437,16432.8739153,63673.3027055,32.6697294538,DP6a
308,Piriform area,138887.993346,85746.0601885,53141.933158,83108.7965029,2433.87006386,203.393621819,8285.9865859,34211.0204067,10644.9261653,PIR
309,Piriform area molecular layer,74733.6266745,43445.5721782,31288.0544963,41578.4100909,1825.02525993,42.1368273524,7344.11525048,15755.8358593,8188.10338646,PIR1
310,Piriform area pyramidal layer,243816.630705,169131.020747,74685.6099585,166977.858921,1913.89211618,239.269709544,13323.9502075,45538.7883817,15822.8713693,PIR2
311,Piriform area polymorph layer,119736.722148,61424.9015032,58311.8206452,57581.6080014,3500.38441956,342.909082211,5124.61002771,44230.6790729,8956.53154461,PIR3
312,Nucleus of the lateral olfactory tract,141185.682508,83421.314459,57764.3680485,59496.0566229,23197.8968655,727.360970677,15898.4024267,41865.9656218,0.0,NLOT
313,Nucleus of the lateral olfactory tract molecular layer,94310.2207527,54570.8450841,39739.3756686,39453.0778956,14993.2898959,124.477292619,14955.9467082,24783.4289604,0.0,NLOT1
314,Nucleus of the lateral olfactory tract pyramidal layer,180008.604098,109393.411072,70615.1930262,73506.1700442,34967.0553606,920.185667384,18200.8377675,52414.3552587,0.0,NLOT2
315,Nucleus of the lateral olfactory tract layer 3,165984.667499,95412.372972,70572.2945267,74177.9283295,19705.4733464,1528.97129613,14000.3565698,56571.9379569,0.0,NLOT3
316,Cortical amygdalar area,158435.71473,109296.225829,49139.4889013,101288.16763,7756.56283032,251.49536778,20267.6615059,21814.8355406,7056.99185475,COA
317,Cortical amygdalar area anterior part,136601.462468,86354.6336368,50246.8288315,67056.2602597,18818.9225489,479.450828235,14534.4276974,35653.1860916,59.215042531,COAa
318,Cortical amygdalar area anterior part layer 1,100275.525674,64101.2457979,36174.2798761,46737.5914574,17279.2828423,84.3714982532,13735.6799156,22324.6984378,113.901522642,COAa1
319,Cortical amygdalar area anterior part layer 2,166660.412349,104768.844769,61891.5675794,83869.532017,20092.9420748,806.37067743,15195.3747136,46682.2297371,13.9631286135,COAa2
320,Cortical amygdalar area posterior part,164181.299823,115333.202435,48848.0973886,110296.1398,4845.55271942,191.50991557,21776.3361477,18173.3359513,8898.42528961,COAp
321,Cortical amygdalar area posterior part lateral zone,153408.052034,103424.49336,49983.5586739,96640.7901472,6544.7318498,238.971363185,18933.6625614,20943.7200759,10106.1760366,COApl
322,Cortical amygdalar area posterior part lateral zone layer 1,86943.8678719,57057.9176431,29885.9502288,47359.0001116,9673.92032139,24.9972101328,15130.4541904,8024.10445263,6731.39158576,COApl1
323,Cortical amygdalar area posterior part lateral zone layer 2,179323.962202,124624.136148,54699.8260543,114953.880871,9303.18273706,367.072540078,21879.9304217,22424.5216492,10395.3739834,COApl2
324,Cortical amygdalar area posterior part lateral zone layer 3,176912.690542,117383.875115,59528.815427,114774.508724,2329.62350781,279.742883379,19135.3535354,28291.6437098,12101.8181818,COApl3
325,Cortical amygdalar area posterior part medial zone,175929.334888,128319.437831,47609.8970562,125187.055675,2992.62810514,139.754051258,24876.221124,15152.281347,7581.39458519,COApm
326,Cortical amygdalar area posterior part medial zone layer 1,113600.118968,83829.5784073,29770.5405606,80498.4757231,3312.06781173,19.0348724812,18587.5529779,6547.99613354,4634.99144918,COApm1
327,Cortical amygdalar area posterior part medial zone layer 2,192223.415682,144842.105263,47381.3104189,140592.910849,4141.783029,107.411385607,28158.9688507,11222.3415682,8000.0,COApm2
328,Cortical amygdalar area posterior part medial zone layer 3,194219.028315,139136.416682,55082.6116332,136597.014925,2334.99170813,204.410048523,25971.8690498,20503.9002518,8606.84233155,COApm3
329,Piriform-amygdalar area,132125.452352,84160.836349,47964.6160032,77925.2110977,6102.13108162,133.494169682,13839.9678327,14279.0510655,19845.5971049,PAA
330,Piriform-amygdalar area molecular layer,71508.6382448,41188.2020627,30320.4361821,35970.833607,5196.34763187,21.0208237535,12095.3819878,7554.88405702,10670.1701373,PAA1
331,Piriform-amygdalar area pyramidal layer,186317.255974,128101.578344,58215.6776298,116984.392911,11015.6070893,101.578344061,16517.7673926,14632.9247862,27064.985451,PAA2
332,Piriform-amygdalar area polymorph layer,155423.042032,95941.9413366,59481.1006955,92719.6855156,2931.96250378,290.293317206,13551.8596916,21713.940127,24215.3008769,PAA3
333,Postpiriform transition area,147642.392958,104305.902763,43336.4901952,102741.464386,1463.41879613,101.019581076,9994.5679223,22200.6455925,11141.2766805,TR
334,Postpiriform transition area layers 1,69198.1389379,45486.9244345,23711.2145034,44401.0909674,1080.69950265,5.13396438312,7762.55414728,10134.4456923,5814.21466389,TR1
335,Postpiriform transition area layers 2,180834.008602,131442.747616,49391.2609861,129603.690083,1763.26123543,75.7962974506,13172.5986412,24290.7186935,11927.9436514,TR2
336,Postpiriform transition area layers 3,196139.021398,139440.098133,56698.9232656,137619.190405,1624.64222434,196.265503612,10153.4687202,31308.7092817,15236.7452637,TR3
